key	en	ar	zh-Hant	zh-CN	nl	de	el	ja	lv	pt	es	th	it
426	Country covering full process chain	بلد يغطي سلسلة العمليات كاملة	涵蓋全生產鏈國家	全程加工贸易项目的国家（或地区）	Land van gehele bewerkingsproces	Land aller Verarbeitungsstufen	Χώρα Αλυσίδας Πλήρους Επεξεργασίας	商品の一貫加工国 コード	Pilna apstrādes cikla valsts	País que Engloba todos os Processos da Cadeia Comercial	País cubriendo cadena de proceso completa	ประเทศที่ครอบคลุมห่วงโซ่การดำเนินการทั้งหมด	Paese di lavorazione completa
427	Country subdivision of origin code for a trade item	تقسيم بلد المنشأ	原分支機構所在國	贸易项目原产国家（或地区）行政区划代码	Plaats/regio van bewerkingsproces met ISO subdivision code	Region des Ursprungslandes der Handelseinheit	Υποπεριοχή Της Χώρας Προέλευσης	原産地の地域コード	Tirdzniecības vienības izcelsmes valsts apakšiedalījums	Código de Região do País de Origem do Item Comercial	Subdivisión de país de origen	เมืองหรือจังหวัดในประเทศแหล่งกำเนิดสินค้า	Suddivisione dello stato di origine
4300	Ship-to / Deliver-to Company name	الشحن إلى / التسليم إلى اسم الشركة	寄至或送至公司名稱	收货公司名称	Verzend naar/Lever aan bedrijfsnaam	Empfänger-Unternehmen	Αποστολή / Παράδοση στο όνομα της εταιρείας	出荷先/配達先の企業名	Nosūtīt uz / piegādāt uz uzņēmuma nosaukums	Enviar para / Entregar a (Nome da Empresa)	Enviar a / Entregar a Nombre de la compañía	ส่งไปที่ ชื่อบริษัท	Spedire a / consegnare a nome azienda
4301	Ship-to / Deliver-to contact name	شحن إلى / تسليم إلى جهة الاتصال	寄至或送至聯絡窗口	收货联络人	Verzend naar/Lever aan contact	Empfänger-Kontakt	Αποστολή προς / Παράδοση σε κάποια επαφή	出荷先/配達先の連絡担当者	Nosūtīt uz / piegādāt uz kontaktpersona	Enviar para / Entregar a (Nome do Contacto)	Enviar a / Entregar a Contacto	ส่งไปที่ ผู้ติดต่อ	Spedire a / consegnare a contatto
4302	Ship-to / Deliver-to address line 1	شحن إلى / تسليم إلى العنوان السطر 1	寄至或送至地址一	收货地址一	Verzend naar/Lever aan adresregel 1	Empfänger-Adresszeile 1	Αποστολή προς / Παράδοση σε Γραμμή διεύθυνσης 1	出荷先/配達先住所１	Nosūtīt uz / piegādāt uz adreses 1.rindiņa	Enviar para / Entregar a (Morada linha 1)	Enviar a / Entregar a Dirección línea 1	ส่งไปที่ ที่อยู่ บรรทัดที่ 1	Spedire a / consegnare a indirizzo riga 1
4303	Ship-to / Deliver-to address line 2	شحن إلى / تسليم إلى العنوان السطر 2	寄至或送至地址二	收货地址二	Verzend naar/Lever aan adresregel 2	Empfänger-Adresszeile 2	Αποστολή προς / Παράδοση σε Γραμμή διεύθυνσης 2	出荷先/配達先住所２	Nosūtīt uz / piegādāt uz adreses 2.rindiņa	Enviar para / Entregar a (Morada linha 2)	Enviar a / Entregar a Dirección línea 2	ส่งไปที่ ที่อยู่ บรรทัดที่ 2	Spedire a / consegnare a indirizzo riga 2
4304	Ship-to / Deliver-to suburb	شحن إلى / تسليم إلى الضاحية	寄至或送至郊區	收货郊区	Verzend naar/Lever aan wijk	Empfänger-Ortsteil	Αποστολή προς / Παράδοση σε προάστιο	出荷先/配達先の市区町村以下に相当する名称	Nosūtīt uz / piegādāt uz priekšpilsēta	Enviar para / Entregar a (Freguesia)	Enviar a / Entregar a colonia	ส่งไปที่ เขต	Spedire a / consegnare a quartiere
4305	Ship-to / Deliver-to locality	الشحن إلى / التسليم إلى الموقع	寄至或送至市區	收货城区	Verzend naar/Lever aan plaats	Empfänger-Ort	Αποστολή προς / Παράδοση σε όνομα τοποθεσίας	出荷先/配達先の市区町村相当名	Nosūtīt uz / piegādāt uz apdzīvota vieta	Enviar para / Entregar a (Localidade)	Enviar a / Entregar a localidad	ส่งไปที่ เมือง	Spedire a / consegnare a località
4306	Ship-to / Deliver-to region	شحن إلى / تسليم إلى المنطقة	寄至或送至地區	收货地区	Verzend naar/Lever aan regio	Empfänger-Region	Αποστολή προς / Παράδοση σε περιφέρεια	出荷先/配達先の都道府県相当名	Nosūtīt uz / piegādāt uz reģions	Enviar para / Entregar a (Região / Distrito)	Enviar a / Entregar a región	ส่งไปที่ ภูมิภาค	Spedire a / consegnare a regione
4307	Ship-to / Deliver-to country code	الشحن إلى / التسليم إلى رمز الدولة	寄至或送至國碼	收货国家（或地区）代码	Verzend naar/Lever aan landcode	Empfänger-Ländercode	Αποστολή προς / Παράδοση σε κωδικό χώρας	出荷先/配達先の国コード	Nosūtīt uz / piegādāt uz valsts kods	Enviar para / Entregar a (Código do País)	Enviar a / Entregar a código de país	ส่งไปที่ รหัสประเทศ	Spedire a / consegnare a codice paese
4308	Ship-to / Deliver-to telephone number	الشحن إلى / التسليم إلى رمز الهاتف	寄至或送至電話號碼	收货电话号码	Verzend naar/Lever aan telefoonnummer	Empfänger-Telefonnummer	Αποστολή προς / Παράδοση σε τηλεφωνικό αριθμό	出荷先/配達先の電話番号	Nosūtīt uz / piegādāt uz tālruņa numurs	Enviar para / Entregar a (Contacto Telefónico)	Enviar a / Entregar a número telefónico	ส่งไปที่ หมายเลขโทรศัพท์	Spedire a / consegnare a numero di telefono
4309	Ship-to / Deliver-to GEO location	شحن إلى / تسليم إلى موقع GEO	运至/交货地地理坐标	收货地理坐标	Verzenden aan/ leveren naar geolocatie	Empfänger-GEO Lokation	Αποστολή Προς / Παράδοση σε γεωγραφική τοποθεσία	出荷先/配達先のジオロケーション	Nosūtīt uz/ Piegādāt uz GEO lokāciju	Enviar para / Entregar a (GEO Localização)	Enviar a / Entregar a la ubicación GEO	ส่งไปที่ตำแหน่งทางภูมิศาสตร์	Spedire a / consegnare a coordinate geografiche
4310	Return-to company name	اعادة إلى اسم الشركة	退回至公司名稱	退货接收公司名称	Retour aan bedrijfsnaam	Retoure an-Unternehmen	Επιστροφή στο όνομα της εταιρείας	返送先企業名	Atgriezt uz uzņēmuma nosaukums	Remeter a (Nome da Empresa)	Devolver a Nombre de compañia	ส่งกลับไปยัง ชื่อบริษัท	Rendere a nome azienda
4311	Return-to contact	اعادة إلى جهة الاتصال	退回至聯絡窗口	退货接收联络人	Retour aan contact	Retoure an-Kontakt	Επιστροφή σε κάποια επαφή	返送先の連絡担当者	Atgriezt uz kontaktpersona	Remeter a (Nome do Contacto)	Devolver a Nombre del contacto	ส่งกลับไปยัง ผู้ติดต่อ	Rendere a contatto
4312	Return-to address line 1	اعادة إلى العنوان السطر 1	退回至地址一	退货接收地址一	Retour aan adresregel 1	Retoure an-Adresszeile 1	Επιστροφή σε Γραμμή διεύθυνσης 1	返送先住所１	Atgriezt uz adreses 1. rindiņa	Remeter a (Morada linha 1)	Devolver a Dirección línea 1	ส่งกลับไปยัง ที่อยู่ บรรทัดที่ 1	Rendere a indirizzo riga 1
4313	Return-to address line 2	اعادة إلى العنوان السطر 2	退回至地址二	退货接收地址二	Retour aan adresregel 2	Retoure an-Adresszeile 2	Επιστροφή σε Γραμμή διεύθυνσης 2	返送先住所２	Atgriezt uz adreses 2. rindiņa	Remeter a (Morada linha 2)	Devolver a Dirección línea 2	ส่งกลับไปยัง ที่อยู่ บรรทัดที่ 2	Rendere a indirizzo riga 2
4314	Return-to suburb	اعادة الى الضاحية	退回至郊區	退货接收郊区	Retour aan wijk	Retoure an-Ortsteil	Επιστροφή σε προάστιο	返送先の市区町村以下に相当する名称	Atgriezt uz priekšpilsēta	Remeter a (Freguesia)	Devolver a colonia	ส่งกลับไปยัง เขต	Rendere a quartiere
4315	Return-to locality	اعادة إلى الموقع	退回至市區	退货接收地的城镇名	Retour aan plaats	Retoure an-Ort	Επιστροφή σε όνομα τοποθεσίας	返送先の市区町村相当名	Atgriezt uz apvidus	Remeter a (Localidade)	Devolver a localidad	ส่งกลับไปยัง เมือง	Rendere a località
4316	Return-to region	اعادة إلى المنطقة	退回至地區	退货接收地区	Retour aan regio	Retoure an-Region	Επιστροφή σε περιφέρεια	返送先の都道府県相当名	Atgriezt uz reģions	Remeter a (Região / Distrito)	Devolver a código de región	ส่งกลับไปยัง ภูมิภาค	Rendere a regione
4317	Return-to country code	اعادة إلى رمز الدولة	退回至國碼	退货接收国家（或地区）代码	Retour aan landcode	Retoure an-Ländercode	Επιστροφή σε κωδικό χώρας	返送先の国コード	Atgriezt uz valsts kods	Remeter a (Código do País)	Devolver a código de país	ส่งกลับไปยัง รหัสประเทศ	Rendere a codice paese
4318	Return-to postal code	اعادة إلى رمز الهاتف	退回至郵遞區號	退货接收邮政编码	Retour aan postcode	Retoure an-Postleitzahl	Επιστροφή  σε ταχυδρομικό κωδικό τ.κ.	返送先の郵便番号	Atgriezt uz pasta indekss	Remeter a (Código Postal)	Devolver a Código postal	ส่งกลับไปยัง รหัสไปรษณีย์	Rendere a codice postale
4319	Return-to telephone number	اعادة إلى الضاحية	退回至電話號碼	退货接收电话号码	Retour aan telefoonnummer	Retoure an-Telefonnummer	Επιστροφή σε τηλεφωνικό αριθμό	返送先の電話番号	Atgriezt uz tālruņa numurs	Remeter a (Contacto Telefónico)	Devolver a número telefónico	ส่งกลับไปยัง หมายเลขโทรศัพท์	Rendere a numero di telefono
4320	Service code description	وصف رمز الخدمة	服務號碼描述	服务号码叙述	Omschrijving service code	Erläuterung des Liefercodes	Περιγραφή κωδικού υπηρεσίας	輸送サービス内容	Pakalpojuma koda apraksts	Descrição do Código de Serviço	Descripción del código de servicio	คำอธิบายรหัสบริการ	Descrizione codice servizio
